Date,value
2022-06-21,946089104060.2603
2022-06-22,953266943478.7065
2022-06-23,922286269038.9148
2022-06-24,971311118102.0695
2022-06-25,1000681760483.4875
2022-06-26,1008634681929.4121
2022-06-27,985573599858.2549
2022-06-28,975611027408.8999
2022-06-29,946912067155.0785
2022-06-30,934123332938.8079
2022-07-01,921006617728.1869
2022-07-02,908645398263.044
2022-07-03,908318076198.9899
2022-07-04,911843310260.7201
2022-07-05,949731276974.9625
2022-07-06,943257685051.4431
2022-07-07,962081846305.9817
2022-07-08,998349884040.5498
2022-07-09,1001488446672.8643
2022-07-10,997534858445.6766
2022-07-11,967183707752.1301
2022-07-12,926809750392.9529
2022-07-13,899572383506.2245
2022-07-14,939892068516.6978
2022-07-15,959239754914.8727
2022-07-16,977005971075.4741
2022-07-17,1011844013093.8417
2022-07-18,997825040365.3789
2022-07-19,1073736708537.068
2022-07-20,1093622410870.1798
2022-07-21,1084781870629.245
2022-07-22,1102705722308.6987
2022-07-23,1080957250261.2753
2022-07-24,1073298414167.5453
2022-07-25,1085142032808.98
2022-07-26,1010398896592.2444
2022-07-27,1018115919634.586
2022-07-28,1091088712032.4158
2022-07-29,1141373692743.0188
2022-07-30,1150997516666.7544
2022-07-31,1141627437548.6575
2022-08-01,1128416695227.4082
2022-08-02,1124037794220.8535
2022-08-03,1095019477846.0795
2022-08-04,1125200707725.4812
2022-08-05,1108457304813.6006
2022-08-06,1148074387693.3696
2022-08-07,1129615935140.9348
2022-08-08,1148911500790.023
2022-08-09,1172216086109.5024
2022-08-10,1130474810790.9753
2022-08-11,1202522070900.0303
2022-08-12,1195631579781.958
2022-08-13,1218608860411.161
2022-08-14,1221579175368.3386
2022-08-15,1219072906197.9197
2022-08-16,1201503195298.9985
2022-08-17,1190868373281.588
2022-08-18,1168195948938.8633
2022-08-19,1143586931946.6523
2022-08-20,1060689878172.0828
2022-08-21,1057712230266.0144
2022-08-22,1072388944220.6289
2022-08-23,1069250735183.8386
2022-08-24,1071181410564.4736
2022-08-25,1081642143275.1337
2022-08-26,1085321091429.3206
2022-08-27,1015545532244.0563
2022-08-28,1005808854344.9471
2022-08-29,988318034362.805
2022-08-30,1028083975839.4886
2022-08-31,1017528928295.2059
2022-09-01,1021274654652.6311
2022-09-02,1022948615018.1272
2022-09-03,1021717438739.2406
2022-09-04,1019507597368.8358
2022-09-05,1024967477565.8514
2022-09-06,1046119037543.8516
2022-09-07,992757490713.8093
2022-09-08,1021262787010.2336
2022-09-09,1028518852039.3845
2022-09-10,1090995339403.1698
2022-09-11,1108403411602.9482
2022-09-12,1110005084197.9312
2022-09-13,1112699496087.7432
2022-09-14,1029952227275.753
2022-09-15,1043057608197.4568
2022-09-16,1002445218890.4128
2022-09-17,1004442875415.4758
2022-09-18,1012809316581.6359
2022-09-19,970741768475.2397
2022-09-20,985127719315.7782
2022-09-21,960593452692.3514
2022-09-22,939522504820.3206
2022-09-23,983647987025.2687
2022-09-24,979229743675.4846
2022-09-25,972647580915.918
2022-09-26,962031003298.2944
2022-09-27,976719967602.9163
2022-09-28,972466085025.921
2022-09-29,981530729759.916
2022-09-30,985771396000.0128
2022-10-01,980866868240.4513
2022-10-02,973672739003.635
2022-10-03,961431190261.1677
2022-10-04,982344452268.458
2022-10-05,1009060806554.5508
2022-10-06,1003498877210.464
2022-10-07,996301417351.5142
2022-10-08,986024734208.5638
2022-10-09,979170330391.3186
2022-10-10,983930732076.5957
2022-10-11,963892045258.172
2022-10-12,957327540343.115
2022-10-13,960712983977.5668
2022-10-14,962815656949.9697
2022-10-15,959403884003.9495
2022-10-16,953495701667.6589
2022-10-17,963653915808.8687
2022-10-18,978025401932.7628
2022-10-19,966408688449.8091
2022-10-20,952627682841.667
2022-10-21,948870473181.127
2022-10-22,956533169071.9918
2022-10-23,960796473265.2579
2022-10-24,980002311730.1434
2022-10-25,967803679896.8218
2022-10-26,1009278868075.4148
2022-10-27,1044234790987.053
2022-10-28,1024384518109.4717
2022-10-29,1044079362264.7603
2022-10-30,1065551973940.2871
2022-10-31,1057701023506.5361
2022-11-01,1057922578260.5417
2022-11-02,1057816998602.8511
2022-11-03,1037886202791.3075
2022-11-04,1046058137813.1636
2022-11-05,1101186092978.0005
2022-11-06,1103071809022.902
2022-11-07,1075069544767.3121
2022-11-08,1069456182601.5082
2022-11-09,961333620438.6276
2022-11-10,831479701405.6488
2022-11-11,924732340364.0378
2022-11-12,904670978731.362
2022-11-13,881116598638.735
2022-11-14,859074245253.1931
2022-11-15,871999266549.255
2022-11-16,883191255745.1343
2022-11-17,869460724152.9669
2022-11-18,866154739591.8593
2022-11-19,870079075561.893
2022-11-20,871234257280.7877
2022-11-21,842036192723.5547
2022-11-22,821262036833.909
2022-11-23,842068895079.7578
2022-11-24,869866510097.1046
2022-11-25,871922722744.1049
2022-11-26,868705741527.8651
2022-11-27,871240266324.2229
2022-11-28,871313540047.1747
2022-11-29,854788093490.1063
2022-11-30,869369135728.6923
2022-12-01,903469788161.3507
2022-12-02,890523204986.0255
2022-12-03,901827259770.174
2022-12-04,884566879171.1064
2022-12-05,897522214640.1324
2022-12-06,889345840197.6002
2022-12-07,893146735292.8273
2022-12-08,877105285159.4016
2022-12-09,895337326237.003
2022-12-10,889756523669.6497
2022-12-11,889673631659.6672
2022-12-12,886594190098.2219
2022-12-13,886757234147.1702
2022-12-14,906486762345.5149
2022-12-15,902895332647.9293
2022-12-16,881290572815.7119
2022-12-17,833820764350.8466
2022-12-18,844732839963.7443
2022-12-19,844055827049.9631
2022-12-20,825919108862.8158
2022-12-21,849281912093.2316
2022-12-22,843532326679.2875
2022-12-23,844846458686.8127
2022-12-24,844299529708.2854
2022-12-25,845342076365.195
2022-12-26,844107472118.435
2022-12-27,848191715235.614
2022-12-28,840489281772.0668
2022-12-29,827395908388.5054
2022-12-30,831261620180.643
2022-12-31,829262009288.9207
2023-01-01,828578631897.6833
2023-01-02,832069367936.0369
2023-01-03,839087693596.8314
2023-01-04,839763043598.0459
2023-01-05,855264809503.2738
2023-01-06,851365654059.8236
2023-01-07,858846723485.5535
2023-01-08,858630201944.9802
2023-01-09,870969898905.1096
2023-01-10,884075790359.1389
2023-01-11,893998843090.7368
2023-01-12,920221455955.9388
2023-01-13,943425456000.234
2023-01-14,980156530125.4415
2023-01-15,1023564319030.1183
2023-01-16,1023325784973.2423
2023-01-17,1031596626629.7444
2023-01-18,1029926942491.8129
2023-01-19,994668060682.4417
2023-01-20,1012972057556.8071
2023-01-21,1077563602371.1854
2023-01-22,1070206118541.6836
2023-01-23,1076150913819.6925
2023-01-24,1086692209867.7136
2023-01-25,1058187859613.2466
2023-01-26,1084394573728.8381
2023-01-27,1085444675000.6198
2023-01-28,1091777366771.4906
2023-01-29,1084832382430.0546
2023-01-30,1118925425329.4685
2023-01-31,1075286900284.5294
2023-02-01,1089808045778.8594
2023-02-02,1117435290921.9521
2023-02-03,1116226896797.8271
2023-02-04,1123522036967.1438
2023-02-05,1124379149142.536
2023-02-06,1105059214010.0854
2023-02-07,1096678425701.485
2023-02-08,1136961405021.4658
2023-02-09,1123489580121.006
